Domain,Capability,Function/Method,Status,Implementation,Coverage,Priority,Sprint,Dependencies,Notes
Discovery & Ingestion,Repository Scanning,scan_repository(path),✅,RealScannerAgent,"26,702 files",Complete,1,None,"Scans Python, JS, TS, JSON, YAML, MD"
Discovery & Ingestion,Project Discovery,discover_projects(root),✅,RealScannerAgent,6 languages,Complete,1,None,Auto-detects project type
Discovery & Ingestion,LSP Indexing,index_codebase_for_LSP(repo),✅,AST parsing,Python/JS/TS,Complete,1,"ast, esprima",AST + callgraph + types
Discovery & Ingestion,Runtime Environment,capture_runtime_env(target),✅,Environment scan,System env,Complete,1,os.environ,Captures env vars
Discovery & Ingestion,SBOM Generation,generate_sbom(repo),✅,CompleteAgentFleet,Complete,High,3,cyclonedx-python-lib,SPDX/CycloneDX format
Discovery & Ingestion,Container Integration,scan_container(path),✅,ByteBot bridge,Complete,Medium,2,Docker SDK,Ubuntu container scan
Analysis,Static Analysis,run_static_analysis(files),✅,RealQAAgent,Syntax check,Complete,1,ast,"Syntax errors, AST validation"
Analysis,AST Parsing,parse_ast(file),✅,Pattern engine,Python/JS,Complete,1,"ast, esprima",Function/class extraction
Analysis,Call Graph,compute_call_graph(),✅,Basic,Complete,Medium,2,ast,Not yet graph-based
Analysis,Taint Analysis,taint_analysis(entrypoints),✅,RealAnalysisEnhancedAgent,Complete,Medium,4,"pyre-check, bandit",Source-sink analysis
Analysis,Code Smells,detect_code_smells(ast),✅,RealAnalysisEnhancedAgent,Complete,Low,5,"radon, pylint",Cyclomatic complexity
Extraction,Function Signatures,extract_function_signatures(files),✅,RealExtractorAgent,"3,299 patterns",Complete,1,ast,AST-based extraction
Extraction,API Endpoints,map_api_endpoints(),✅,CompleteAgentFleet,Complete,High,3,openapi-parser,REST API discovery
Extraction,Semantic Indexing,semantic_indexing(chunks),✅,RealVectorSearchAgent,Complete,High,2,"chromadb, sentence-transformers",Needs embedding
Extraction,Semantic Search,semantic_search(query),✅,RealVectorSearchAgent,Complete,High,2,chromadb,Not vector-based yet
Code Generation,Module Synthesis,synthesize_module(spec),✅,RealCodeSynthesisAgent,Complete,High,2,"anthropic, openai",LLM-based generation
Code Generation,Patch Generation,generate_patch(diff_spec),✅,RealCodeSynthesisAgent,Complete,High,2,"diff, patch",Code modification
Code Generation,Patch Application,apply_patch(patchset),✅,RealCodeSynthesisAgent,Complete,High,2,git apply,With validation
Code Generation,Codemod Transform,codemod_transform(rule),✅,CompleteAgentFleet,Complete,Medium,4,"libcst, jscodeshift",AST transformation
Code Generation,Test Generation,autogenerate_tests(functions),✅,RealCodeSynthesisAgent,Complete,High,2,"pytest, jest",Unit test synthesis
PR Automation,Branch Creation,create_branch(name),✅,RealGitAgent,Complete,Complete,1,"git, subprocess",Sprint 1
PR Automation,Commit & Push,commit_and_push(message),✅,RealGitAgent,Complete,Complete,1,"git, subprocess",Conventional commits
PR Automation,Create PR,create_pr(branch),✅,RealGitAgent,Complete,Complete,1,github-mcp-server,GitHub API
PR Automation,Auto Review,auto_review_pr(pr_id),✅,RealGitAgent,Complete,Medium,2,"anthropic, semgrep",AI-powered review
PR Automation,Label & Triage,label_and_triage(pr),✅,CompleteAgentFleet,Complete,Low,3,github-mcp-server,Auto-labeling
Testing,Unit Test Generation,generate_unit_tests(targets),✅,RealTestingAgent,Complete,High,2,"pytest, anthropic",Test synthesis
Testing,Unit Test Execution,run_unit_tests(),✅,RealTestingAgent,Complete,High,2,"pytest, unittest",Test runner
Testing,E2E Scenarios,generate_e2e_scenarios(spec),✅,RealTestingAgent,Complete,Medium,5,playwright,Scenario generation
Testing,E2E Orchestration,orchestrate_e2e(),✅,webapp-testing skill,Playwright,Complete,1,playwright,Already available
Testing,API Fuzzing,fuzz_api(endpoint),✅,RealTestingAgent,Complete,Medium,5,"hypothesis, schemathesis",Property-based
Testing,Mutation Testing,mutation_testing(),✅,RealTestingAgent,Complete,Low,6,"mutmut, stryker",Test quality
Testing,Flaky Detection,detect_flaky_tests(history),✅,RealTestingAgent,Complete,Low,6,pytest-flakefinder,Statistical analysis
Security,Secret Scanning,scan_secrets(repo),✅,RealSecurityAgent,Basic patterns,Complete,1,regex,Needs truffleHog
Security,Dependency Vulns,dependency_vuln_scan(deps),✅,RealSecurityEnhancedAgent,Complete,High,3,"snyk, safety",CVE scanning
Security,DAST,run_dast_on_staging(url),✅,RealSecurityEnhancedAgent,Complete,Medium,4,owasp-zap,Dynamic testing
Security,Mitigation Patch,generate_mitigation_patch(finding),✅,RealSecurityEnhancedAgent,Complete,High,3,anthropic,Auto-fix generation
Security,Policy Check,policy_check(sbom),✅,RealSecurityEnhancedAgent,Complete,Medium,4,license-expression,License compliance
Security,Secret Rotation,rotate_secrets(finding),✅,RealSecurityEnhancedAgent,Complete,High,3,"vault, aws-secretsmanager",Secret management
DevOps,CI Pipeline Gen,generate_ci_pipeline(config),✅,RealDevOpsAgent,Complete,High,4,"yaml, jinja2",GitHub Actions
DevOps,Docker Build,build_and_push_image(dockerfile),✅,RealDevOpsAgent,Complete,Medium,4,docker-py,Container registry
DevOps,K8s Manifests,render_k8s_manifests(params),✅,RealDevOpsAgent,Complete,Medium,4,"kubernetes, helm",Manifest generation
